Gross regional product1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross regional product (mln.UAH),,,,,,,,,,,,,"Volume indices of gross regional product (at prices of the previous year, percent)",,,,,,,,,,,,,,Per capita gross regional product (UAH),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,20142,20152,20162,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,20142,20152,20162,20172,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,20142,20152,20162
Ukraine,345113,441452,544153,720731,948056,913345,1082569,1302079,1459096,1522657,1586915,1988544,2385367,112.1,102.7,107.3,107.9,102.3,85.2,104.1,105.2,100.2,100.0,93.4,90.2,102.4,102.5,7273,9372,11630,15496,20495,19832,23600,28488,32002,33473,36904,46413,55899
Autonomous Republic of Crimea,9901,12848,16044,20874,27365,27396,32426,38220,44536,46393,…,…,…,108.5,104.0,106.7,109.0,106.6,90.7,103.4,102.7,98.8,101.0,…,…,…,…,4951,6460,8101,10574,13898,13933,16507,19467,22675,23595,…,…,…
Vinnytsya,8123,10207,12414,15381,20094,20104,23589,29099,33024,36191,43990,59871,74411,111.9,105.3,106.2,103.4,105.1,90.1,103.0,107.2,103.7,104.8,104.6,97.1,106.5,101.2,4700,5966,7328,9159,12061,12145,14332,17768,20253,22303,27249,37270,46615
Volyn,4994,6553,7687,10072,12784,12225,14429,17637,20005,20622,24195,31688,35744,119.0,103.7,103.5,112.1,106.1,86.0,100.2,105.3,104.8,99.3,101.1,95.3,108.2,103.3,4771,6285,7397,9711,12340,11796,13916,16993,19249,19817,23218,30387,34310
Dnipropetrovsk,30040,41227,52347,71173,104687,93331,116136,140020,147970,152905,176540,215206,244478,111.0,107.3,108.0,105.3,97.3,83.5,105.8,103.4,97.5,99.3,95.1,90.3,98.4,103.1,8609,11909,15239,20868,30918,27737,34709,42068,44650,46333,53749,65897,75396
Donetsk,45617,58044,72361,92093,117646,103739,128986,161021,170775,164926,119983,115012,137500,110.8,97.1,108.3,104.6,97.1,81.6,111.1,111.4,97.1,94.7,67.1,61.3,99.1,92.5,9713,12490,15725,20197,26028,23137,28986,36446,38907,37830,27771,26864,32318
Zhytomyr,5947,7430,8784,11127,15008,14731,18743,21928,24849,25676,29815,38425,47919,115.6,101.1,103.6,105.1,104.2,88.9,112.8,102.7,109.4,101.9,103.6,98.1,105.2,102.7,4397,5554,6636,8485,11545,11419,14616,17184,19551,20286,23678,30698,38520
Zakarpattya,5297,6700,8185,10508,13208,12542,15299,18054,21404,21400,24120,28952,32390,106.4,98.5,106.6,108.2,103.9,82.1,107.7,104.7,103.0,100.6,102.8,93.5,97.3,99.4,4238,5373,6576,8452,10626,10081,12278,14455,17088,17044,19170,22989,25727
Zaporizhzhya,15255,19968,24787,33158,42445,37446,42736,49525,54828,54352,65968,89061,104323,115.6,104.6,106.1,108.5,101.3,78.9,103.2,102.9,97.8,99.3,100.4,94.7,99.7,104.7,8093,10683,13369,18022,23232,20614,23657,27567,30656,30526,37251,50609,59729
Ivano-Frankivsk,7311,9622,11316,13916,17883,17241,20446,26752,32286,33196,37643,45854,51404,107.6,105.9,102.5,100.8,97.5,89.3,100.5,106.5,103.3,97.7,97.6,92.0,99.0,106.3,5238,6916,8157,10055,12940,12485,14814,19386,23379,24022,27232,33170,37220
Kyiv,11883,15362,19188,26221,35687,37548,44953,59154,69663,68931,79561,104030,128638,109.8,107.3,108.8,105.9,104.4,89.2,105.1,111.7,101.9,93.4,99.4,94.0,105.7,105.2,6652,8673,10918,15033,20593,21769,26140,34420,40483,39988,46058,60109,74216
Kirovohrad,5594,6877,8187,9989,13961,13389,15749,20041,22056,25313,28758,38447,46021,118.9,102.4,105.1,97.9,113.7,85.8,105.7,109.2,100.7,109.5,100.6,91.7,105.0,95.2,5122,6394,7723,9546,13515,13096,15533,19918,22082,25533,29223,39356,47469
Luhansk,14672,19716,24159,32280,42985,38451,45541,57202,58767,55108,31393,23849,31356,108.2,100.3,104.3,105.2,98.9,86.7,102.3,109.1,99.1,92.2,61.0,47.7,118.0,86.4,5973,8131,10085,13628,18338,16562,19788,25067,25950,24514,14079,10778,14251
Lviv,13992,17192,21486,27987,35534,35955,41655,52103,61962,63329,72923,94690,114842,105.2,98.1,108.3,105.8,100.7,88.3,102.3,108.7,102.0,98.8,100.9,95.2,99.3,101.5,5396,6657,8351,10915,13902,14093,16353,20490,24387,24937,28731,37338,45319
Mykolayiv,7934,9553,11876,14767,19410,20336,24055,27633,29205,32030,35408,48195,57815,118.1,100.1,107.1,99.5,106.9,92.5,103.2,102.7,96.1,104.4,98.4,95.3,105.6,98.6,6424,7801,9769,12227,16175,17050,20276,23402,24838,27355,30357,41501,50091
Odesa,17029,20762,24898,33116,46994,48647,53878,61499,64743,69760,74934,99761,119800,108.1,99.6,103.5,106.3,111.9,86.8,102.4,102.1,96.8,105.7,98.3,95.8,104.2,106.6,7028,8619,10379,13827,19638,20341,22544,25748,27070,29118,31268,41682,50159
Poltava,13983,18099,22179,28355,34118,33629,44291,52252,56580,58464,69831,95867,116272,116.7,99.2,108.2,105.8,94.9,86.8,109.5,101.8,97.8,94.4,96.0,93.8,97.9,95.8,8841,11574,14330,18500,22476,22337,29652,35246,38424,39962,48040,66390,81145
Rivne,5599,7263,8924,11180,14074,13469,15882,19302,21795,22004,28724,35252,39469,113.1,102.1,106.9,104.5,99.5,86.5,106.8,104.6,103.3,96.9,102.6,93.4,100.3,100.5,4817,6269,7724,9695,12217,11699,13785,16735,18860,19003,24762,30350,33958
Sumy,6275,8025,9566,12341,16210,16060,18333,22907,24933,26765,30397,41567,46287,105.9,104.4,103.4,103.4,103.6,88.7,98.9,107.8,101.7,102.7,100.4,96.7,96.6,103.7,5009,6497,7848,10249,13622,13631,15711,19800,21722,23517,26943,37170,41741
Ternopil,3948,5137,6452,8276,10618,11173,12726,16294,17957,18085,21676,26656,31072,106.4,102.5,110.3,108.3,105.1,94.5,100.4,111.3,109.0,96.6,108.0,93.7,98.5,103.6,3516,4603,5819,7510,9688,10240,11713,15055,16644,16819,20228,24963,29247
Kharkiv,20524,25618,32023,43868,59389,58923,65293,76866,82223,85315,96596,124843,154871,112.2,104.8,107.5,107.2,102.1,86.3,101.7,104.5,98.4,98.8,97.9,90.9,102.1,99.8,7182,9025,11353,15645,21294,21228,23639,27966,29972,31128,35328,45816,57150
Kherson,5200,6469,7565,9034,13174,13436,15649,18448,19357,20767,23250,32215,38743,111.2,99.2,104.0,100.4,109.8,93.0,101.8,103.8,100.2,101.1,99.7,98.7,102.8,100.5,4546,5713,6744,8122,11944,12256,14346,16990,17910,19311,21725,30246,36585
Khmelnytskiy,6344,7958,9603,12339,16061,15758,18096,22843,26237,26426,32162,41088,48859,112.7,103.9,104.2,104.0,99.9,90.6,100.0,108.0,109.0,96.9,102.3,92.2,104.7,109.0,4549,5764,7023,9100,11932,11780,13602,17260,19920,20165,24662,31660,37881
Cherkasy,6623,9014,10957,13656,19101,18707,22354,27012,31265,33087,38466,50843,59412,116.9,107.0,105.6,106.5,114.9,85.5,105.9,106.4,100.9,100.7,98.9,95.0,101.8,98.0,4853,6681,8209,10331,14581,14393,17325,21082,24558,26168,30628,40759,48025
Chernivtsi,3277,4234,5126,6672,8833,8484,9892,11969,13166,13757,15049,18506,21239,109.3,101.5,105.5,108.3,105.4,88.6,100.3,104.0,106.1,101.5,98.3,94.7,99.4,100.3,3589,4654,5650,7369,9771,9383,10939,13228,14529,15154,16552,20338,23365
Chernihiv,6181,7627,8950,11532,14918,14636,17008,21165,23934,24237,28156,36966,43362,110.0,100.1,103.4,106.5,102.3,89.6,100.0,107.8,104.0,95.8,100.5,93.4,100.6,99.7,5163,6474,7714,10081,13213,13121,15406,19357,22096,22603,26530,35196,41726
Kyiv,61357,77124,95267,135900,169564,169537,196639,223774,275685,312552,357377,451700,559140,116.8,105.8,110.7,119.7,104.4,81.7,101.4,100.7,101.9,106.4,96.1,93.3,105.5,107.4,23130,28780,35210,49795,61592,61088,70424,79729,97429,109402,124163,155904,191736
Sevastopol,2213,2823,3822,4916,6305,6452,7785,9359,9891,11066,…,…,…,107.0,100.9,116.3,106.6,106.9,89.6,106.4,103.1,88.4,106.0,…,…,…,…,5847,7452,10079,12961,16592,16966,20455,24564,25872,28765,…,…,…
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Compiled according to the Methodological provisions for updated version of the system of national accounts 2008  (SSSU order of 17.12.2013 ? 398).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 Data exclud?  the temporarily occupied territor? of the Autonomous Republic of Crimea, the   city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions.   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
